User_ID,Age,Gender,Notification_Count,Daily_Screen_Time_Hours,Number_of_Apps_Used,Social_Media_Usage_Hours,Gaming_App_Usage_Hours,Physical_Activity_Hours_Week,Night_Time_Usage_Hours,Sleep_Hours,Digital_Wellbeing_Score,Awareness_Level
1,56,Male,24,7.33,24,4.45,2.25,0.1,0.1,8.2,50.37,Medium
2,46,Male,18,13.27,18,4.14,2.04,9.8,9.8,6.4,27.41,Low
3,32,Female,11,8.18,11,4.08,2.34,9.7,9.7,8.37,55.93,Medium
4,25,Female,21,8.16,21,3.14,4.27,4,4,9.21,52.55,Medium
5,38,Male,14,12.38,14,3.48,4.28,7.3,7.3,6.46,24.31,Low
6,56,Female,21,5.39,21,2.56,2.08,3.5,3.5,8.13,79.53,High
7,36,Male,24,7.49,24,3.23,3.51,6.7,6.7,9.5,72.63,High
8,40,Male,11,10.28,11,2.03,2.37,8.1,8.1,8.26,49.65,Medium
9,28,Male,9,12.53,9,3.11,2.49,9.5,9.5,6.24,28.31,Low
10,28,Male,16,4.53,16,2.58,0.05,4,4,8.25,71.18,High
11,41,Female,21,7.02,21,3.57,2.18,7.8,7.8,7.08,53.84,Medium
12,53,Female,21,11,21,4.36,1.59,2.7,2.7,7.14,54,Medium
13,57,Female,4,7.49,4,0.36,4.43,9.9,9.9,7.57,49.59,Medium
14,41,Male,11,11.13,11,4.42,1.56,0.3,0.3,6,39.33,Low
15,20,Male,15,7,15,2.59,4.1,6,6,6.07,48.84,Medium
16,39,Male,17,6.53,17,4.05,2.01,6.6,6.6,7.07,52.06,Medium
17,19,Female,5,12.29,5,2.38,3.46,6.9,6.9,6.58,44.92,Low
18,41,Male,13,8.04,13,1.55,2.43,1.2,1.2,7.55,53.59,Medium
19,47,Female,23,8.52,23,4.45,0.43,9.4,9.4,7.08,55.71,Medium
20,55,Female,16,12.29,16,1.23,1.08,1.8,1.8,5.53,45.16,Medium
21,19,Female,27,5.05,27,4.1,0.2,6.2,6.2,9.44,80.92,High
22,38,Female,89,11.56,10,2.12,3.23,2.2,2.2,6.59,34.21,Low
23,50,Female,79,12.13,20,2.33,2.33,3.1,3.1,7.28,42.86,Low
24,29,Female,108,5.2,21,1.24,3.21,5.5,5.5,7.09,69.71,Medium
25,39,Male,78,11.19,18,2.06,1.02,4.2,4.2,7.35,60.62,Medium
26,42,Male,35,8.27,4,1.51,0.11,1.6,1.6,8.06,63,Medium
27,44,Female,111,7.51,10,0.03,2.27,1.7,1.7,7.11,76.85,High
28,59,Female,57,8.09,24,1.58,4.29,4.2,4.2,8.25,59.54,Medium
